Start,Finish,Distance (mi),Steps (count)
22-Sep-2014 00:00,23-Sep-2014 00:00,0.0,2590.0
23-Sep-2014 00:00,24-Sep-2014 00:00,0.0,5372.0
24-Sep-2014 00:00,25-Sep-2014 00:00,0.0,4324.0
25-Sep-2014 00:00,26-Sep-2014 00:00,0.0,4502.0
26-Sep-2014 00:00,27-Sep-2014 00:00,0.0,34.0
27-Sep-2014 00:00,28-Sep-2014 00:00,0.0,5651.0
28-Sep-2014 00:00,29-Sep-2014 00:00,1.24773820971359,2855.0
29-Sep-2014 00:00,30-Sep-2014 00:00,2.09447528035444,4728.0
30-Sep-2014 00:00,01-Oct-2014 00:00,3.58527819846487,8187.0
01-Oct-2014 00:00,02-Oct-2014 00:00,4.37007677409682,9427.0
02-Oct-2014 00:00,03-Oct-2014 00:00,0.00580952937965119,13.0
03-Oct-2014 00:00,04-Oct-2014 00:00,0.975630297575208,2093.0
04-Oct-2014 00:00,05-Oct-2014 00:00,2.6869048137661,6031.0
05-Oct-2014 00:00,06-Oct-2014 00:00,1.03110791958245,2298.0
06-Oct-2014 00:00,07-Oct-2014 00:00,0.898329876552179,2067.0
07-Oct-2014 00:00,08-Oct-2014 00:00,2.69461787491973,6077.0
08-Oct-2014 00:00,09-Oct-2014 00:00,4.184072390215,9612.0
09-Oct-2014 00:00,10-Oct-2014 00:00,4.63721941959199,10527.0
10-Oct-2014 00:00,11-Oct-2014 00:00,4.49644010589802,10149.0
11-Oct-2014 00:00,12-Oct-2014 00:00,1.93751897113684,4517.0
12-Oct-2014 00:00,13-Oct-2014 00:00,0.0962325332452816,222.0
13-Oct-2014 00:00,14-Oct-2014 00:00,1.80772850989445,4121.0
14-Oct-2014 00:00,15-Oct-2014 00:00,1.99073824865696,4378.0
15-Oct-2014 00:00,16-Oct-2014 00:00,3.01858241601404,6579.0
16-Oct-2014 00:00,17-Oct-2014 00:00,2.77336584796995,5991.0
17-Oct-2014 00:00,18-Oct-2014 00:00,3.20300596841282,7212.0
18-Oct-2014 00:00,19-Oct-2014 00:00,1.3947350208525,3178.0
19-Oct-2014 00:00,20-Oct-2014 00:00,1.40270197044847,3214.0
20-Oct-2014 00:00,21-Oct-2014 00:00,2.67924884411688,5888.63506768529
21-Oct-2014 00:00,22-Oct-2014 00:00,3.90950136990019,8694.36493231471
22-Oct-2014 00:00,23-Oct-2014 00:00,1.83264598015838,3976.0
23-Oct-2014 00:00,24-Oct-2014 00:00,3.72739296253887,8334.0
24-Oct-2014 00:00,25-Oct-2014 00:00,4.4771906694094,9853.8270269408
25-Oct-2014 00:00,26-Oct-2014 00:00,2.57355397102334,5620.21346228481
26-Oct-2014 00:00,27-Oct-2014 00:00,3.18945683225779,7234.95951077439
27-Oct-2014 00:00,28-Oct-2014 00:00,1.6585517380493,3777.0
28-Oct-2014 00:00,29-Oct-2014 00:00,2.21247298691805,4905.0
29-Oct-2014 00:00,30-Oct-2014 00:00,1.28883666753465,2864.0
30-Oct-2014 00:00,31-Oct-2014 00:00,3.37738277598157,7267.0
31-Oct-2014 00:00,01-Nov-2014 00:00,2.25733330999783,5092.0
01-Nov-2014 00:00,02-Nov-2014 00:00,4.19760781607714,9577.0
02-Nov-2014 00:00,03-Nov-2014 00:00,1.31551440125552,2951.0
03-Nov-2014 00:00,04-Nov-2014 00:00,2.37266941165748,5329.0
04-Nov-2014 00:00,05-Nov-2014 00:00,2.62289320483183,5927.0
05-Nov-2014 00:00,06-Nov-2014 00:00,0.0290814948421619,66.0
06-Nov-2014 00:00,07-Nov-2014 00:00,2.15459432945091,4858.0
07-Nov-2014 00:00,08-Nov-2014 00:00,1.22620280725185,2785.0
08-Nov-2014 00:00,09-Nov-2014 00:00,5.45954775418258,12545.799307855
09-Nov-2014 00:00,10-Nov-2014 00:00,3.97504374024997,8979.20069214497
10-Nov-2014 00:00,11-Nov-2014 00:00,2.38983782534253,5472.0
11-Nov-2014 00:00,12-Nov-2014 00:00,2.66486648775913,5962.0
12-Nov-2014 00:00,13-Nov-2014 00:00,2.70112368213692,6063.0
13-Nov-2014 00:00,14-Nov-2014 00:00,3.05473548317063,7004.0
14-Nov-2014 00:00,15-Nov-2014 00:00,3.75003511072322,8635.0
15-Nov-2014 00:00,16-Nov-2014 00:00,2.21356412297464,4850.0
16-Nov-2014 00:00,17-Nov-2014 00:00,0.0941019807537782,216.0
17-Nov-2014 00:00,18-Nov-2014 00:00,2.43632495169541,5458.0
18-Nov-2014 00:00,19-Nov-2014 00:00,2.11871162889584,4790.0
